"stop_id","stopa_name","lat","lng"
"1717","Amogha Layout(towards - Marsadra)","13.07508963","77.71806440"
"1926","Amritha Ayurvedic Hospital(towards - CRPF)","13.12485154","77.54721480"
"1924","Amritha Ayurvedic Hospital(towards - Shivakote)","13.12470635","77.54725343"
"6980","Amritha Engineering College(towards - Central Jail)","12.89679698","77.67519660"
"6979","Amritha Engineering College(towards - Kasavanahalli)","12.89688914","77.67517112"
"4945","Amrutha Nagara Canara Bank(towards - Dasarahalli Hebbal)","13.05518008","77.59969177"
"4944","Amrutha Nagara Canara Bank(towards - Military Dairy Farm)","13.05505786","77.59974155"
"4935","Amruthahalli(towards - Jakkur Layout)","13.06578074","77.60080435"
"4943","Amruthanagara(towards - Military Dairy Form)","13.05781560","77.59873693"
"4942","Amruthanagara Hebbala","13.05772625","77.59856466"
"3848","Amruthnagara(towards - Anjanapura)","12.83967629","77.54984919"
"3850","Amruthnagara(towards - Kulumepalya)","12.83938570","77.55000310"
"1730","Anagalapura  Gate","13.07306070","77.67885232"
"4375","Anagalipura(towards - Dodda Gubbi)","13.06841618","77.68233597"
"4376","Anagalipura (towards - Anagalipura Cross )","13.06838221","77.68241376"
"5517","Anagalipura gate","13.07303285","77.67888397"
"222","Anand Rao Circle(towards - Maharanis College)","12.98111450","77.57468557"
"12094","Ananda Nagara(towards - Belagumba)","12.98379979","77.24208891"
"8322","Ananda Rao Circle(towards - Malleshwaram)","12.98115609","77.57462181"
"5010","Ananda Rao Circle(towards - KR Market)","12.98122472","77.57698417"
"12093","Anandanagara(towards - Hospete gate)","12.98385729","77.24218078"
"11528","Anandanagara Hebbala","13.03299008","77.59136349"
"1689","Anandapura(towards - TC Palya)","13.02422515","77.69285292"
"1761","Anandapura(towards - B Channasandra)","13.02409883","77.69270401"
"5717","Ananthapura(towards - Ramagondanahalli)","13.11521247","77.56587111"
"1913","Ananthapura(towards - Anantapura Gate)","13.11449726","77.56771772"
"5714","Ananthapura Gate(towards - Anantapura)","13.11470440","77.57867396"
"5716","Ananthapura Gate(towards - Yelahanka NES/Doddaballapura)","13.11478275","77.57876516"
"1891","Ananthapura Gate(towards - Yelahanka NES)","13.11485706","77.57902536"
"1802","Ananthapura Gate(towards - Doddaballapura)","13.11497453","77.57881815"
"2256","Anche Muskuru(towards - Dunnasandra Cross)","12.90451534","77.86779755"
"2218","Anche Muskuru(towards - Chikkathrupathi)","12.90460385","77.86790700"
"430","Anchepalya(towards - Nelamangala)","13.05506122","77.47887503"
"455","Anchepalya(towards - Jalahalli Cross)","13.05526591","77.47981620"
"959","Anchepalya(towards - Bidadi)","12.89245654","77.45777966"
"1013","Anchepalya(towards - Kengeri)","12.89246672","77.45750617"
"9287","Anchipura(towards - Anchipura Colony)","12.77070888","77.43199937"
"9286","Anchipura(towards - Anchipura Cross)","12.76987508","77.43216433"
"6256","Anchipura Colony","12.76764308","77.43857481"
"6255","Anchipura Colony(towards - Anchipura)","12.76758684","77.43854396"
"6617","Anchipura Cross(towards - Shyanumangala)","12.79002102","77.44117856"
"6616","Anchipura Cross(towards - Kodiyala)","12.79007268","77.44118929"
"6146","Andhrahalli Gate(towards - Budigere Cross)","13.11539664","77.74529278"
"6144","Andhrahalli Gate(towards - Budigere)","13.11541492","77.74525523"
"816","Andrahalli(towards - Herohalli)","13.00804629","77.48480746"
"812","Andrahalli(towards - Thigalarapalya)","13.00799641","77.48476578"
"811","Andrahalli Govt School(towards - Andrahalli)","13.00953829","77.48292203"
"817","Andrahalli Govt School(towards - Thiglarapalya)","13.00947448","77.48290149"
"12092","Anehalla(towards - Hospete Gate)","12.97985056","77.24140160"
"12091","Anehalla(towards - Belagumba)","12.97983096","77.24132113"
"3340","Anekal Bus Stand(towards - Last Bus Stop)","12.70931890","77.69630613"
"3344","Anekal Bus Stand(towards - Anelkal Circle)","12.70944576","77.69651532"
"7153","Anekal Circle(towards - Anekal)","12.71675106","77.70015456"
"7154","Anekal Circle(towards - Kaval Hosahalli)","12.71675368","77.70010092"
"2648","Anepalya(towards - Adugodi)","12.95283208","77.60543338"
"2650","Anepalya","12.95194039","77.60876814"
"2649","Anepalya(towards - Shivajinagara Bus Station)","12.95301615","77.60524959"
"2086","Angalaparameshwari Temple(towards - Sirsi Circle)","12.97463907","77.56603528"
"10651","Anghatta Cross(towards - Nandi Cross)","13.36670879","77.69559681"
"10652","Anghatta Cross(towards - Karahalli Cross)","13.36670620","77.69572556"
"3484","Anjan Vidya Kendra School(towards - Mutkur)","12.92413874","77.82440090"
"3485","Anjan Vidya Kendra School(towards - Tattnur)","12.92424287","77.82438247"
"5135","Anjananagara(towards - Gollarahatti)","12.98608870","77.48841561"
"305","Anjananagara(towards - Sunkadakatte)","12.98618371","77.48814919"
"1280","Anjanapura(towards - Konanakunte)","12.86201124","77.56383263"
"10854","Anjanapura(towards - Kembathalli)","12.86196748","77.56390839"
"1268","Anjanapura(towards - Amruthnagara)","12.86196984","77.56378981"
"12503","Anjanapura 10th Block(towards - Anjanapura)","12.85547524","77.57123888"
"12504","Anjanapura 10th Block(towards - Kembathanahalli)","12.85545432","77.57149771"
"1277","Anjanapura Cross(towards - Konanakunte)","12.86166018","77.56056922"
"1271","Anjanapura cross(towards - Amruthnagara)","12.86180431","77.56091309"
"1469","Anjaneya Temple","12.71738993","77.70035418"
"1506","Anjaneya Temple","12.71732972","77.70034576"
"1417","Anjaneya Temple Bidaragupe(towards - Attibele)","12.79977059","77.78252374"
"8744","Anjaneya Temple Bidaraguppe(towards - Sarjapura)","12.79989820","77.78252453"
"4093","Anjaneya Temple Madhure(towards - Chikka Madhure)","13.20989449","77.44493005"
"4094","Anjaneya Temple Madhure(towards - Channadevi Agrahara)","13.20998466","77.44514115"
"442","Anjaneya Temple Nelamangala (towards - Jalahalli Cross)","13.09739405","77.39777114"
"439","Anjaneya Temple Nelamangala(towards - Nelamangala)","13.09733054","77.39782978"
"818","Anjaneya Temple Thigalarapalya(towards - Thigalarapalya)","13.01375915","77.48339039"
"810","Anjaneya Temple Thigalarapalya(towards - Andrahalli)","13.01369315","77.48343719"
"1615","Anjinaya Temple(towards - Bychapura)","13.23508433","77.71297704"
"8718","Anjinayya Temple(towards - Dodda Nallala)","13.10328859","77.88676322"
"8719","Anjinayya Temple(towards - Mylapura)","13.10322589","77.88673371"
"5891","Anjinya Temple(towards - Devanahalli)","13.23501604","77.71293461"
"6376","Ankanahalli(towards - Sulibele)","13.20433177","77.79845769"
"6375","Ankanahalli(towards - I Basapura)","13.20433177","77.79838259"
"4062","Ankegowdanadoddi.D","12.70671323","77.51729914"
"4061","Ankegowdanadoddi.U","12.70674659","77.51727299"
"6832","Annagalpura Cross","13.06177188","77.68671066"
"6831","Annagalpura Cross","13.06171179","77.68666774"
"6276","Annahalli","12.69966202","77.38370485"
"6275","Annahalli","12.69967249","77.38364250"
"2016","Annapoorneshwari 3rd Main Road","12.97813873","77.50428176"
"2018","Annapoorneshwari 3rd Main Road","12.97818810","77.50425403"
"2010","Annapoorneshwari Nagara(towards - Pappareddypalya)","12.98055641","77.50687179"
"2012","Annapoorneshwari Nagara(towards - Sunkkadakatte)","12.98041988","77.50671759"
"10740","Annapoorneshwari Nagara(towards - BDA Complex)","12.98079674","77.50691414"
"10739","Annapoorneshwari Nagara(towards - Sunkadakatte)","12.98078236","77.50674784"
"11423","Annapoorneshwarinagara Cross(towards - Byadarahalli)","12.96993606","77.49653935"
"11422","Annapoorneshwarinagara Cross(towards - AIT)","12.96999749","77.49658160"
"10730","Annapoorneswarana Nagara","13.00095121","77.51711189"
"2023","Annaporneshwari nagara","12.97203220","77.49696650"
"9732","Annasandrapalya(towards - HAL Main Gate)","12.96443857","77.67249763"
"9731","Annasandrapalya(towards - Basavanagara)","12.96449672","77.67248422"
"6932","Annasandrapalya Cross(towards - NGEF)","12.96054131","77.66597182"
"6931","Annasandrapalya Cross(towards - HAL)","12.96034527","77.66616896"
"9954","Annekaranahalli(towards - Athimgere Gate)","12.86966959","77.27010392"
"9955","Annekaranahalli","12.86961403","77.27006838"
"5862","Anneswara(towards - Yarappanahalli )","13.21529591","77.71054410"
"5861","Anneswara(towards - Baichapura )","13.21534683","77.71057829"
"8578","Anubhavanagara(towards - Moodalapalya)","12.96783326","77.52381541"
"8576","Anubhavanagara(towards - Bande maramma Bus Station)","12.96778359","77.52379597"
"5237","Anugondanahalli Cross(towards - Hope Form)","12.95890763","77.81583220"
"5236","Anugondanahalli Cross(towards - Chikkathrupathi)","12.95900435","77.81600386"
"2205","Anugundnahalli(towards - Anagundnahalli Cross)","12.95725531","77.81526806"
"2269","Anugundnahalli(towards - Mutkur)","12.95716305","77.81546401"
"6532","Anupahalli","13.22426384","77.85407513"
"1844","Aparel Park(towards - Rajanukunte)","13.27231478","77.55204223"
"1825","Aparel Park(towards - Doddaballapura)","13.27261338","77.55197750"
"10909","APCO Factory(towards - Bannigiri)","12.76194623","77.47043878"
"10908","APCO Factory(towards - Thokathimmana Doddi Cross)","12.76209272","77.47036368"
"1572","Apex Bank(towards - Maruthi Circle)","12.94181404","77.55590318"
"1317","Apex Bank(towards - Girinagara)","12.94176426","77.55556899"
"835","APJ Statue(towards - DRDO)","12.98000520","77.65439703"
"834","APJ Statue(towards - BEML)","12.97982018","77.65435972"
"3255","APMC Yard(towards - Mattahalli)","13.10483981","77.44384230"
"3252","APMC Yard(towards - Makali)","13.10493909","77.44396301"
"6424","Appasandra(towards - Ummlu)","13.06314991","77.89668984"
"6891","Appasandra(towards - Hosakote)","13.06308090","77.89661765"
"11176","Applo Pharmcy JPF(towards - RV Dental College)","12.91043671","77.58176051"
"1224","APR Kalyana Mantapa(towards - Begur)","12.89326182","77.62596209"
"1162","APR Kalyana Mantapa","12.89325102","77.62584635"
"1087","APS College(towards - Kaggalipura)","12.78281196","77.49976900"
"1059","APS College(towards - Somanahalli Gate)","12.78262357","77.49975617"
"1462","AR complex stop maruthi nagar","12.92514406","77.61517750"
"673","Arabic College(towards - Govindapura Cross)","13.02993000","77.62083500"
"684","Arabic College(towards - Kadugondanhalli Railway Gate)","13.03034254","77.62103069"
"2533","Aradeshanahalli(towards - Bettanahalli)","13.22253221","77.56373363"
"2534","Aradeshanahalli(towards - Suradevapura Cross)","13.22242429","77.56354988"
"4428","Aradeshanahalli Gate(towards - Doddaballapura)","13.21641266","77.55252983"
"10077","Aradeshanahalli Gate(towards - MES College)","13.21656299","77.55265251"
"10080","Aradeshanahalli Gate(towards - Suradevapura Cross)","13.21646311","77.55263708"
"2528","Aradeshanahalli Gate(towards - Rajanukunte)","13.21650657","77.55254879"
"8437","Arahalli(towards - Bannimangala)","13.27074059","77.56629556"
"4420","Arakere Byrapura","13.20030023","77.53803049"
"4419","Arakere Byrapura(towards - Byrapura)","13.20015497","77.53796299"
"86","Arakere Gate(towards - BPL Stop)","12.89059818","77.59822328"
"4890","Aralimara (Industrial Area) Rajajinagara(towards - ESI)","12.97827911","77.54887193"
"4889","Aralimara (Industrial Area) Rajajinagara(towards - Vijayanagara)","12.97866659","77.54916698"
"12051","Aralimara (Ullal)(towards - Muddaianapalya)","12.95768823","77.48727836"
"12052","Aralimara (Ullalu)(towards - Ullalu)","12.95767582","77.48731054"
"6602","Aralimara Sunkadakatte(towards - Sunkkdatte)","12.99203460","77.50465103"
"9956","Aralimaradapalya","12.92969562","77.36467659"
"11893","Aralimaradapalya Cross(towards - Madapatna)","12.92656313","77.36000083"
"9959","Aralimaradapalya Cross(towards - Huluvenahalli)","12.92665660","77.36003235"
"4084","Aralumallige(towards - Doddaballapura)","13.27367374","77.50918592"
"4085","Aralumallige(towards - Madhure)","13.27362133","77.50912342"
"9143","Aralumallige Cross(towards - Aralumallige)","13.26701917","77.51160800"
"4083","Aralumallige Cross(towards - Gowdahalli)","13.26693095","77.51177853"
"9524","Arasahalli(towards - Upasapura)","12.96484436","77.88858712"
"6373","Arasahalli(towards - Pura)","12.96478074","77.88863181"
"6372","Arasanahalli(towards - I Basapura)","13.20152320","77.79732326"
"6371","Arasanahalli(towards - Sulibele)","13.20148282","77.79737409"
"3541","Arasanahalli cross stop (down)","13.23045469","77.64361021"
"3540","Arasanahalli cross stop (up)","13.23052294","77.64358289"
"11262","Arasu Colony","12.71342230","77.41382674"
